ts_utc,ts_ny,symbol,source,spot,regime,net_gex,flip_level,spot_vs_flip_pct,iv30,rv20,vrp,n_candidates,n_positive_ev,best_ev,n_alerts
2026-08-09T20:10:44+00:00,2026-08-09T16:10:44-04:00,QQQ,yahoo,723.03,long_gamma,1259987956.0,713.4038,1.331,0.19255,0.26095,-0.0684,270,3,50.01,1
2026-08-09T20:10:49+00:00,2026-08-09T16:10:49-04:00,QQQ,yahoo,723.03,long_gamma,1259987956.0,713.4038,1.331,0.19255,0.26095,-0.0684,270,3,50.01,0
2026-08-09T20:10:54+00:00,2026-08-09T16:10:54-04:00,QQQ,yahoo,723.03,long_gamma,1259987956.0,713.4038,1.331,0.19255,0.26095,-0.0684,270,3,50.01,0
